id,given_name,family_name,name,image,identifiers,sources,memberships
nrsr:person:1180,Martina,Holečková,Martina Holečková,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1180&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""1180""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=1180""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:2"", ""name"": ""Klub KDH"", ""start_date"": ""2023-11-14"", ""end_date"": ""2024-09-12""}, {""id"": ""nrsr:org:club:6"", ""name"": ""Klub Sloboda a Solidarita"", ""start_date"": ""2025-01-21"", ""end_date"": ""2026-06-02""}, {""id"": ""nrsr:org:club:6"", ""name"": ""Klub Sloboda a Solidarita"", ""start_date"": ""2026-06-02"", ""end_date"": """"}]}"
nrsr:person:871,Vladimír,Baláž,Vladimír Baláž,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=871&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""871""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=871""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:5"", ""name"": ""Klub SMER - sociálna demokracia"", ""start_date"": ""2023-11-14"", ""end_date"": ""2026-06-02""}, {""id"": ""nrsr:org:club:5"", ""name"": ""Klub SMER - sociálna demokracia"", ""start_date"": ""2026-06-02"", ""end_date"": """"}]}"
nrsr:person:1207,Michal,Bartek,Michal Bartek,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1207&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""1207""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=1207""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:1"", ""name"": ""Klub HLAS - sociálna demokracia"", ""start_date"": ""2023-11-14"", ""end_date"": ""2026-06-02""}, {""id"": ""nrsr:org:club:1"", ""name"": ""Klub HLAS - sociálna demokracia"", ""start_date"": ""2026-06-02"", ""end_date"": """"}]}"
nrsr:person:233,Jaroslav,Baška,Jaroslav Baška,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=233&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""233""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=233""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:5"", ""name"": ""Klub SMER - sociálna demokracia"", ""start_date"": ""2023-11-14"", ""end_date"": ""2026-06-02""}, {""id"": ""nrsr:org:club:5"", ""name"": ""Klub SMER - sociálna demokracia"", ""start_date"": ""2026-06-02"", ""end_date"": """"}]}"
nrsr:person:1187,Branislav,Becík,Branislav Becík,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1187&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""1187""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=1187""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:1"", ""name"": ""Klub HLAS - sociálna demokracia"", ""start_date"": ""2023-11-14"", ""end_date"": ""2026-06-02""}, {""id"": ""nrsr:org:club:1"", ""name"": ""Klub HLAS - sociálna demokracia"", ""start_date"": ""2026-06-02"", ""end_date"": """"}]}"
nrsr:person:1119,Irena,Bihariová,Irena Bihariová,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1119&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""1119""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=1119""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:3"", ""name"": ""Klub Progresívne Slovensko"", ""start_date"": ""2023-11-14"", ""end_date"": ""2026-06-02""}, {""id"": ""nrsr:org:club:3"", ""name"": ""Klub Progresívne Slovensko"", ""start_date"": ""2026-06-02"", ""end_date"": """"}]}"
nrsr:person:976,Jana,Cigániková,Jana Cigániková,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=976&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""976""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=976""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:6"", ""name"": ""Klub Sloboda a Solidarita"", ""start_date"": ""2023-11-14"", ""end_date"": ""2026-04-24""}, {""id"": ""nrsr:org:nezavisli"", ""name"": ""Nezávislí"", ""start_date"": ""2026-04-24"", ""end_date"": """"}]}"
nrsr:person:997,Ján,Blcháč,Ján Blcháč,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=997&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""997""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=997""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:1"", ""name"": ""Klub HLAS - sociálna demokracia"", ""start_date"": ""2023-11-14"", ""end_date"": ""2026-06-02""}, {""id"": ""nrsr:org:club:1"", ""name"": ""Klub HLAS - sociálna demokracia"", ""start_date"": ""2026-06-02"", ""end_date"": """"}]}"
nrsr:person:1144,Lukáš,Bužo,Lukáš Bužo,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1144&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""1144""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=1144""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:4"", ""name"": ""Klub SLOVENSKO - ZA ĽUDÍ"", ""start_date"": ""2023-11-14"", ""end_date"": ""2026-06-02""}, {""id"": ""nrsr:org:club:4"", ""name"": ""Klub SLOVENSKO - ZA ĽUDÍ"", ""start_date"": ""2026-06-02"", ""end_date"": """"}]}"
nrsr:person:1195,Jozef,Cech,Jozef Cech,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1195&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""1195""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=1195""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:1"", ""name"": ""Klub HLAS - sociálna demokracia"", ""start_date"": ""2023-11-14"", ""end_date"": ""2026-06-02""}, {""id"": ""nrsr:org:club:1"", ""name"": ""Klub HLAS - sociálna demokracia"", ""start_date"": ""2026-06-02"", ""end_date"": """"}]}"
nrsr:person:1179,Marián,Čaučík,Marián Čaučík,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1179&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""1179""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=1179""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:2"", ""name"": ""Klub KDH"", ""start_date"": ""2023-11-14"", ""end_date"": """"}]}"
nrsr:person:1160,Marcela,Čavojová,Marcela Čavojová,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1160&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""1160""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=1160""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:5"", ""name"": ""Klub SMER - sociálna demokracia"", ""start_date"": ""2023-11-14"", ""end_date"": ""2026-06-02""}, {""id"": ""nrsr:org:club:5"", ""name"": ""Klub SMER - sociálna demokracia"", ""start_date"": ""2026-06-02"", ""end_date"": """"}]}"
nrsr:person:1203,Miroslav,Čellár,Miroslav Čellár,https://www.nrsr.sk/web/dynamic/PoslanecPhoto.aspx?PoslanecID=1203&ImageWidth=140,"[{""scheme"": ""nrsr"", ""identifier"": ""1203""}]","[{""url"": ""https://www.nrsr.sk/web/Default.aspx?sid=poslanci/poslanec&PoslanecID=1203""}]","{""parliament"": [{""id"": ""nrsr:org:13"", ""name"": ""Národná rada Slovenskej republiky"", ""start_date"": ""2023-10-25"", ""end_date"": """"}], ""groups"": [{""id"": ""nrsr:org:club:1"", ""name"": ""Klub HLAS - sociálna demokracia"", ""start_date"": ""2023-11-14"", ""end_date"": ""2026-06-02""}, {""id"": ""nrsr:org:club:1"", ""name"": ""Klub HLAS - sociálna demokracia"", ""start_date"": ""2026-06-02"", ""end_date"": """"}]}"
