id,identifier,name,classification
nrsr:org:club:1,Klub HLAS - SD,Klub HLAS - SD,group
nrsr:org:club:2,Klub HLAS - sociálna demokracia,Klub HLAS - sociálna demokracia,group
nrsr:org:club:3,Klub KDH,Klub KDH,group
nrsr:org:club:4,Klub PS,Klub PS,group
nrsr:org:club:5,Klub Progresívne Slovensko,Klub Progresívne Slovensko,group
nrsr:org:club:6,Klub SLOVENSKO,Klub SLOVENSKO,group
nrsr:org:club:7,Klub SLOVENSKO - ZA ĽUDÍ,Klub SLOVENSKO - ZA ĽUDÍ,group
nrsr:org:club:8,Klub SMER - SD,Klub SMER - SD,group
nrsr:org:club:9,Klub SMER - sociálna demokracia,Klub SMER - sociálna demokracia,group
nrsr:org:club:10,Klub SNS,Klub SNS,group
nrsr:org:club:11,Klub SaS,Klub SaS,group
nrsr:org:club:12,Klub Sloboda a Solidarita,Klub Sloboda a Solidarita,group
nrsr:org:club:13,Klub Slovenská národná strana,Klub Slovenská národná strana,group
