person_id,name,given_names,family_names,group,candidate_list,constituency,dim1,dim2,dim3,weight,included
nrsr:person:1161,Michal Stuška,Michal,Stuška,Klub SMER - sociálna demokracia,,,-0.8584694967909101,0.016327346364887054,0.0021070448756389114,0.994432512208877,True
nrsr:person:1162,Jozef Smatana,Jozef,Smatana,,,,0.0,0.0,0.0,0.0,False
nrsr:person:1163,Justín Sedlák,Justín,Sedlák,Klub SMER - sociálna demokracia,,,-0.856088069510386,0.014255514405682186,0.001832933038902521,0.9974142378901144,True
nrsr:person:1164,Tomáš Drucker,Tomáš,Drucker,,,,0.0,0.0,0.0,0.0,False
nrsr:person:1165,Michal Kaliňák,Michal,Kaliňák,,,,0.0,0.0,0.0,0.0,False
nrsr:person:1166,Dr. Kurilovská,Dr.,Kurilovská,,,,0.0,0.0,0.0,0.0,False
nrsr:person:1168,Zuzana Dolinková,Zuzana,Dolinková,,,,0.0,0.0,0.0,0.0,False
nrsr:person:1169,Karol Janas,Karol,Janas,Klub HLAS - sociálna demokracia,,,-0.8552699451644893,0.014235879595194656,0.0009364367340716549,0.9983201545457819,True
nrsr:person:1170,Peter Kalivoda,Peter,Kalivoda,Klub HLAS - sociálna demokracia,,,-0.8536486166411763,0.016441405545699617,0.004797945576266114,0.9736144274726728,True
nrsr:person:1171,Kamil Šaško,Kamil,Šaško,,,,0.0,0.0,0.0,0.0,False
nrsr:person:1172,Richard Eliáš,Richard,Eliáš,Klub HLAS - sociálna demokracia,,,-0.8538366253536113,0.016844149553686894,0.005521153446265283,0.9939045607804085,True
nrsr:person:1173,Roman Malatinec,Roman,Malatinec,Klub HLAS - sociálna demokracia,,,-0.8479480867576311,0.003603717265235778,0.0016538318633424725,0.9930166424688931,True
nrsr:person:1174,Michal Moško,Michal,Moško,Klub HLAS - sociálna demokracia,,,-0.6992257509498006,-0.5923867036996283,0.20477489197702667,0.1394631693884163,True
nrsr:person:1175,Radomír Šalitroš,Radomír,Šalitroš,Klub HLAS - sociálna demokracia,,,-0.7411833273149242,-0.4911470561785014,0.05224313351608845,0.44205133127752255,True
nrsr:person:1176,Erik Vlček,Erik,Vlček,Klub HLAS - sociálna demokracia,,,-0.8537752713449517,0.01826440467039967,0.006210763249750279,0.9834175255876461,True
nrsr:person:1177,Igor Šimko,Igor,Šimko,Klub HLAS - sociálna demokracia,,,-0.8561818321576556,0.015782500868581687,0.005107703429984747,0.9712926410770213,True
nrsr:person:1178,Milan Majerský,Milan,Majerský,Klub KDH,,,0.9783318417553524,-0.12875346196302234,-0.40064717617633905,0.8472300548349553,True
nrsr:person:1179,Marián Čaučík,Marián,Čaučík,Klub KDH,,,0.9924335556878082,-0.12628655269573638,-0.3866981969398356,0.9175195881978859,True
nrsr:person:1180,Martina Holečková,Martina,Holečková,Klub KDH,,,1.055236155566298,-0.05410956236774594,-0.24165735232965435,0.7337144982661596,True
nrsr:person:1181,Jozef Hajko,Jozef,Hajko,Klub KDH,,,0.9635844514023365,-0.05928006922552514,-0.41145064811644516,0.7844998260160067,True
nrsr:person:1182,Peter Stachura,Peter,Stachura,Klub KDH,,,0.9666775672374924,-0.1347003015625164,-0.41180691988782264,0.7692192318306716,True
nrsr:person:1183,Ján Horecký,Ján,Horecký,Klub KDH,,,0.9974584732473543,-0.10556493694336737,-0.3931517334479001,0.8531755078532776,True
nrsr:person:1184,František Majerský,František,Majerský,Klub KDH,,,0.9663797211989228,-0.12057738469477909,-0.4043683046140819,0.7566443887162383,True
nrsr:person:1185,Martin Šmilňák,Martin,Šmilňák,Klub KDH,,,0.9416756936625499,0.0668462970601634,-0.46519015042570405,0.7202037412558046,True
nrsr:person:1186,Andrea Turčanová,Andrea,Turčanová,Klub KDH,,,0.9822602262455938,-0.11805023290006325,-0.4202827732393362,0.8042740067913754,True
nrsr:person:1187,Branislav Becík,Branislav,Becík,Klub HLAS - sociálna demokracia,,,-0.8566298704106474,0.015904426951007584,0.00130263231188927,0.9973362450654542,True
nrsr:person:1188,Július Jakab,Július,Jakab,Klub SLOVENSKO - ZA ĽUDÍ,,,1.1208246413410965,0.03306583033815337,-0.23685894478041777,0.8795430820364528,True
nrsr:person:1189,Marek Lackovič,Marek,Lackovič,Klub Progresívne Slovensko,,,1.089390766605041,0.04728566138881502,0.2785375319352448,0.9435751910824206,True
nrsr:person:1190,Rastislav Krátky,Rastislav,Krátky,Klub SLOVENSKO - ZA ĽUDÍ,,,1.0918531703334686,-0.0003577102935755263,-0.1516124393683347,0.7576882926770738,True
nrsr:person:1191,Andrej Sitkár,Andrej,Sitkár,Klub SMER - sociálna demokracia,,,-0.8571021907122557,0.016060859576125318,0.0014800759518169683,0.9987281170132349,True
nrsr:person:1192,Ivan Hazucha,Ivan,Hazucha,Klub SMER - sociálna demokracia,,,-0.857059311958425,0.014694739974803929,0.0026078032237438664,0.986165272794903,True
nrsr:person:1193,Igor Válek,Igor,Válek,Klub SMER - sociálna demokracia,,,-0.8580828593869673,0.01770370008209744,0.002254061837240153,0.9987461153573872,True
nrsr:person:1194,Zuzana Plevíková,Zuzana,Plevíková,Klub SMER - sociálna demokracia,,,-0.8573026791454157,0.016093379647879016,0.0009271452321581985,0.9988841026625552,True
nrsr:person:1195,Jozef Cech,Jozef,Cech,Klub HLAS - sociálna demokracia,,,-0.8553625126344242,0.01601786063662863,0.0049502059436537585,0.9953744255528493,True
nrsr:person:1196,Alena Nováková,Alena,Nováková,Klub HLAS - sociálna demokracia,,,-0.8560892848041443,0.01583043868043266,0.0034452554599317944,0.99722825500054,True
nrsr:person:1197,Peter Slyško,Peter,Slyško,Klub HLAS - sociálna demokracia,,,-0.8181857679718849,-0.24690575227969194,0.012626843343761827,0.7794782879975044,True
nrsr:person:1198,Milan Garaj,Milan,Garaj,Klub Slovenská národná strana,,,-0.8498246878291652,0.008860651901200983,0.002186266566511097,0.981461705523092,True
nrsr:person:1199,Adam Lučanský,Adam,Lučanský,Klub Slovenská národná strana,,,-0.8479119604703251,0.01151396846398272,0.0004932006726562736,0.9961783515916538,True
