id,identifier,name,classification
nrsr:org:club:1,Klub HLAS - sociálna demokracia,Klub HLAS - sociálna demokracia,group
nrsr:org:club:2,Klub KDH,Klub KDH,group
nrsr:org:club:3,Klub Progresívne Slovensko,Klub Progresívne Slovensko,group
nrsr:org:club:4,Klub SLOVENSKO - ZA ĽUDÍ,Klub SLOVENSKO - ZA ĽUDÍ,group
nrsr:org:club:5,Klub SMER - sociálna demokracia,Klub SMER - sociálna demokracia,group
nrsr:org:club:6,Klub Sloboda a Solidarita,Klub Sloboda a Solidarita,group
nrsr:org:club:7,Klub Slovenská národná strana,Klub Slovenská národná strana,group
nrsr:org:nezavisli,Nezávislí,Nezávislí,group
